2024: 4392 Zeitscheiben gelesen
2025: 4380 Zeitscheiben gelesen
2026: 1452 Zeitscheiben gelesen

### 2024, Richtung pos
| Monat | Zeitscheiben | Leistungspreis Mittel | Median | Grenzpreis | angebotene Menge MW | Saldo MW |
|---|---|---|---|---|---|---|
| 1 | 186 | 6.2 | 4.7 | 7.8 | 3982 | -33 |
| 2 | 174 | 4.8 | 3.8 | 6.5 | 3925 | -31 |
| 3 | 186 | 6.0 | 4.4 | 7.9 | 4258 | -31 |
| 4 | 180 | 12.6 | 10.1 | 21.4 | 4324 | -22 |
| 5 | 186 | 14.9 | 12.7 | 20.7 | 4207 | -35 |
| 6 | 180 | 20.9 | 18.0 | 31.1 | 4232 | -41 |
| 7 | 186 | 15.8 | 13.8 | 19.4 | 4631 | -20 |
| 8 | 186 | 15.1 | 13.1 | 18.0 | 4767 | -41 |
| 9 | 180 | 14.9 | 14.1 | 17.8 | 4669 | -13 |
| 10 | 186 | 14.5 | 11.6 | 18.7 | 4515 | -4 |
| 11 | 180 | 16.5 | 8.8 | 27.7 | 4365 | 14 |
| 12 | 186 | 15.2 | 8.9 | 20.2 | 4663 | -17 |

### 2024, Richtung neg
| Monat | Zeitscheiben | Leistungspreis Mittel | Median | Grenzpreis | angebotene Menge MW | Saldo MW |
|---|---|---|---|---|---|---|
| 1 | 186 | 6.3 | 4.7 | 8.0 | 3375 | -42 |
| 2 | 174 | 5.1 | 4.0 | 7.0 | 3265 | -42 |
| 3 | 186 | 5.2 | 3.5 | 6.9 | 3690 | -47 |
| 4 | 180 | 10.2 | 7.2 | 13.8 | 3688 | -63 |
| 5 | 186 | 13.9 | 7.1 | 19.2 | 3563 | -80 |
| 6 | 180 | 19.9 | 13.4 | 28.8 | 3293 | -80 |
| 7 | 186 | 15.3 | 10.6 | 19.9 | 3634 | -75 |
| 8 | 186 | 16.9 | 7.6 | 21.5 | 3636 | -66 |
| 9 | 180 | 16.2 | 10.7 | 20.3 | 3474 | -52 |
| 10 | 186 | 10.1 | 7.3 | 13.4 | 3545 | -80 |
| 11 | 180 | 4.9 | 3.6 | 7.1 | 3752 | -13 |
| 12 | 186 | 6.1 | 3.4 | 8.4 | 3919 | 4 |

### 2025, Richtung pos
| Monat | Zeitscheiben | Leistungspreis Mittel | Median | Grenzpreis | angebotene Menge MW | Saldo MW |
|---|---|---|---|---|---|---|
| 1 | 186 | 12.6 | 7.7 | 18.9 | 4509 | -17 |
| 2 | 168 | 13.5 | 9.4 | 21.9 | 4488 | -32 |
| 3 | 186 | 12.1 | 9.6 | 17.7 | 4394 | -67 |
| 4 | 180 | 15.5 | 13.9 | 23.2 | 4322 | -61 |
| 5 | 186 | 20.6 | 16.9 | 30.5 | 4142 | -57 |
| 6 | 180 | 19.5 | 15.8 | 28.1 | 4266 | -50 |
| 7 | 186 | 14.4 | 11.5 | 17.1 | 4403 | -42 |
| 8 | 186 | 14.4 | 10.9 | 19.3 | 4189 | -36 |
| 9 | 180 | 34.2 | 25.6 | 73.8 | 3804 | -76 |
| 10 | 186 | 31.2 | 21.7 | 44.9 | 3893 | -63 |
| 11 | 180 | 16.8 | 11.4 | 23.2 | 4091 | -68 |
| 12 | 186 | 10.6 | 5.9 | 15.7 | 4574 | -55 |

### 2025, Richtung neg
| Monat | Zeitscheiben | Leistungspreis Mittel | Median | Grenzpreis | angebotene Menge MW | Saldo MW |
|---|---|---|---|---|---|---|
| 1 | 186 | 4.9 | 2.9 | 6.9 | 3955 | -10 |
| 2 | 168 | 3.0 | 2.0 | 6.4 | 3811 | 12 |
| 3 | 186 | 11.2 | 2.8 | 15.5 | 3856 | 50 |
| 4 | 180 | 19.7 | 6.4 | 34.5 | 3617 | -1 |
| 5 | 186 | 32.2 | 10.0 | 54.0 | 3555 | -59 |
| 6 | 180 | 27.3 | 13.8 | 46.1 | 3686 | -56 |
| 7 | 186 | 15.8 | 4.7 | 19.5 | 3682 | -56 |
| 8 | 186 | 19.0 | 5.8 | 26.6 | 3518 | -66 |
| 9 | 180 | 27.4 | 14.5 | 47.0 | 3259 | -105 |
| 10 | 186 | 16.5 | 12.0 | 25.1 | 3249 | -96 |
| 11 | 180 | 6.9 | 4.6 | 10.8 | 3545 | -37 |
| 12 | 186 | 3.4 | 2.4 | 5.9 | 3787 | -31 |

### 2026, Richtung pos
| Monat | Zeitscheiben | Leistungspreis Mittel | Median | Grenzpreis | angebotene Menge MW | Saldo MW |
|---|---|---|---|---|---|---|
| 1 | 186 | 9.5 | 6.0 | 13.8 | 4288 | -72 |
| 2 | 168 | 7.8 | 6.5 | 10.3 | 4094 | -107 |
| 3 | 186 | 10.3 | 7.3 | 13.7 | 4074 | -129 |
| 4 | 180 | 11.2 | 9.6 | 18.6 | 4231 | -153 |
| 5 | 6 | 8.4 | 8.7 | 11.8 | 4189 | -149 |

### 2026, Richtung neg
| Monat | Zeitscheiben | Leistungspreis Mittel | Median | Grenzpreis | angebotene Menge MW | Saldo MW |
|---|---|---|---|---|---|---|
| 1 | 186 | 2.6 | 1.7 | 3.9 | 3756 | -18 |
| 2 | 168 | 2.7 | 1.2 | 4.9 | 3448 | -8 |
| 3 | 186 | 11.8 | 2.7 | 16.4 | 3591 | -19 |
| 4 | 180 | 20.5 | 8.2 | 42.3 | 3686 | -36 |
| 5 | 6 | 40.9 | 21.3 | 67.4 | 3888 | -148 |

### 2024, pos, Leistungspreis je Vier-Stunden-Produkt und Monat
| Monat | 00_04 | 04_08 | 08_12 | 12_16 | 16_20 | 20_24 |
|---|---|---|---|---|---|---|
| 1 | 3.3 | 4.3 | 7.8 | 4.0 | 12.4 | 5.6 |
| 2 | 2.5 | 3.3 | 5.6 | 3.6 | 9.8 | 4.1 |
| 3 | 3.6 | 4.0 | 6.9 | 3.5 | 12.6 | 5.1 |
| 4 | 7.0 | 11.9 | 19.4 | 7.4 | 15.0 | 15.0 |
| 5 | 5.4 | 10.3 | 25.6 | 9.9 | 16.2 | 22.2 |
| 6 | 9.4 | 16.1 | 26.4 | 17.1 | 24.1 | 32.1 |
| 7 | 5.7 | 12.0 | 19.7 | 12.0 | 16.6 | 28.8 |
| 8 | 5.2 | 11.7 | 19.4 | 11.1 | 17.0 | 26.2 |
