MaStRNummer,EinheitName,BetriebsStatusName,Bundesland,InbetriebnahmeDatum,StromspeichertechnologieBezeichnung,Stromspeichertechnologie,Batterietechnologie,Bruttoleistung,Nettonennleistung,NutzbareSpeicherkapazitaet,SpeicherEinheitMastrNummer
SEE913938308608,GigaBattery Lippendorf 1000,In Planung,Sachsen,,Batterie,524,727,1000000.0,1000000.0,4000000.0,SSE957505267882
SEE988710642065,GigaBattery Boxberg 1000,In Planung,Sachsen,,Batterie,524,727,1000000.0,1000000.0,4000000.0,SSE950924900699
SEE976701215879,GigaBattery Jänschwalde 1000,In Planung,Brandenburg,,Batterie,524,727,1000000.0,1000000.0,4000000.0,SSE950145550062
SEE911502802170,GigaBattery Jänschwalde 2000,In Planung,Brandenburg,,Batterie,524,727,1000000.0,1000000.0,4000000.0,SSE962979156594
SEE965131234796,Batteriespeicher Westfalen 3,In Planung,Nordrhein-Westfalen,,Batterie,524,727,538000.0,538000.0,1145580.0,SSE936426263012
SEE998036960637,GigaBattery Boxberg 400,In Planung,Sachsen,,Batterie,524,727,400000.0,400000.0,1600000.0,SSE985403656071
SEE901024459440,ECO POWER THREE,In Planung,Sachsen-Anhalt,,Batterie,524,727,300000.0,300000.0,600000.0,SSE966382373159
SEE920963364875,ECO POWER SIX,In Planung,Baden-Württemberg,,Batterie,524,727,300000.0,300000.0,660000.0,SSE938370123299
SEE982668250747,ECO POWER FOUR,In Planung,Rheinland-Pfalz,,Batterie,524,727,300000.0,300000.0,600000.0,SSE988979078483
SEE997585564112,illwerke vkw Rodundwerk II M1,In Betrieb,,/Date(1298937600000)/,Pumpspeicher,1537,,295000.0,295000.0,145625000.0,SSE990326168051
SEE901345486644,PSW Goldisthal PSS D,In Betrieb,Thüringen,/Date(1088380800000)/,Pumpspeicher,1537,,265000.0,263000.0,9470000.0,SSE938004379115
SEE943653719359,PSW Goldisthal PSS C,In Betrieb,Thüringen,/Date(1044230400000)/,Pumpspeicher,1537,,265000.0,263000.0,9470000.0,SSE938004379115
SEE974189836364,PSW Goldisthal PSS B,In Betrieb,Thüringen,/Date(1057795200000)/,Pumpspeicher,1537,,265000.0,263000.0,9470000.0,SSE938004379115
SEE945148512650,PSW Goldisthal PSS A,In Betrieb,Thüringen,/Date(1083024000000)/,Pumpspeicher,1537,,265000.0,263000.0,9470000.0,SSE938004379115
SEE989733403879,KW Silz - Maschine 1,In Betrieb,,/Date(355363200000)/,Pumpspeicher,1537,,250000.0,250000.0,4461000.0,SSE912793054910
SEE965029367872,KW Silz - Maschine 2,In Betrieb,,/Date(355363200000)/,Pumpspeicher,1537,,250000.0,250000.0,4461000.0,SSE951037719635
SEE933021962319,Waldeck 2 F1,In Betrieb,Hessen,/Date(126230400000)/,Pumpspeicher,1537,,240000.0,240000.0,3786000.0,SSE932227022773
SEE996080766151,Waldeck 2 F2,In Betrieb,Hessen,/Date(126230400000)/,Pumpspeicher,1537,,240000.0,240000.0,3786000.0,SSE932227022773
SEE929967552172,KW Wehr MS A9,In Betrieb,Baden-Württemberg,/Date(169084800000)/,Pumpspeicher,1537,,227500.0,227500.0,3282000.0,SSE901328768866
SEE945727561772,KW Wehr MS B9,In Betrieb,Baden-Württemberg,/Date(212025600000)/,Pumpspeicher,1537,,227500.0,227500.0,3282000.0,SSE979785325809
SEE954610139165,KW Wehr MS B10,In Betrieb,Baden-Württemberg,/Date(212803200000)/,Pumpspeicher,1537,,227500.0,227500.0,3282000.0,SSE979785325809
SEE931018364146,KW Wehr MS A10,In Betrieb,Baden-Württemberg,/Date(173664000000)/,Pumpspeicher,1537,,227500.0,227500.0,3282000.0,SSE901328768866
SEE967459235615,BESS_Sabel,In Planung,Mecklenburg-Vorpommern,,Batterie,524,727,210000.0,210000.0,1000000.0,SSE981904729894
