produkt,datum_excel,zeitscheibe,durchschnittspreis_de_eur_mw_h,hoechster_zuschlag_de_eur_mw_h
mFRR,45658.0,POS_00_04,0.2,0.37
mFRR,45658.0,POS_04_08,0.67,1.45
mFRR,45658.0,POS_08_12,0.96,1.76
mFRR,45658.0,POS_12_16,0.91,1.51
mFRR,45658.0,POS_16_20,3.03,3.59
mFRR,45658.0,POS_20_24,0.39,0.52
mFRR,45658.0,NEG_00_04,15.54,18.85
mFRR,45658.0,NEG_04_08,15.6,17.5
mFRR,45658.0,NEG_08_12,11.29,14.45
mFRR,45658.0,NEG_12_16,13.08,24.0
mFRR,45658.0,NEG_16_20,8.08,11.54
mFRR,45658.0,NEG_20_24,9.23,12.0
mFRR,45659.0,POS_00_04,0.21,0.29
mFRR,45659.0,POS_04_08,1.04,1.78
mFRR,45659.0,POS_08_12,1.78,3.08
mFRR,45659.0,POS_12_16,1.38,3.07
mFRR,45659.0,POS_16_20,5.68,8.46
mFRR,45659.0,POS_20_24,0.53,1.28
mFRR,45659.0,NEG_00_04,9.96,15.3
mFRR,45659.0,NEG_04_08,14.5,29.26
mFRR,45659.0,NEG_08_12,2.82,4.19
mFRR,45659.0,NEG_12_16,3.42,5.13
mFRR,45659.0,NEG_16_20,1.82,2.55
mFRR,45659.0,NEG_20_24,2.8,3.73
mFRR,45660.0,POS_00_04,0.22,0.26
mFRR,45660.0,POS_04_08,1.2,1.65
mFRR,45660.0,POS_08_12,1.94,2.33
mFRR,45660.0,POS_12_16,1.79,2.2
mFRR,45660.0,POS_16_20,4.94,6.8
mFRR,45660.0,POS_20_24,0.68,1.28
mFRR,45660.0,NEG_00_04,7.15,8.2
mFRR,45660.0,NEG_04_08,9.12,11.91
mFRR,45660.0,NEG_08_12,1.92,2.57
mFRR,45660.0,NEG_12_16,2.19,3.0
mFRR,45660.0,NEG_16_20,1.11,1.5
mFRR,45660.0,NEG_20_24,1.61,2.04
mFRR,45661.0,POS_00_04,0.24,0.51
mFRR,45661.0,POS_04_08,1.14,1.42
mFRR,45661.0,POS_08_12,1.71,1.88
mFRR,45661.0,POS_12_16,1.9,2.24
mFRR,45661.0,POS_16_20,6.78,9.25
mFRR,45661.0,POS_20_24,1.46,2.0
mFRR,45661.0,NEG_00_04,4.7,5.38
mFRR,45661.0,NEG_04_08,5.15,6.38
mFRR,45661.0,NEG_08_12,1.29,1.54
mFRR,45661.0,NEG_12_16,1.19,1.5
mFRR,45661.0,NEG_16_20,0.68,0.86
mFRR,45661.0,NEG_20_24,1.22,1.61
mFRR,45662.0,POS_00_04,0.44,0.99
mFRR,45662.0,POS_04_08,1.03,1.5
mFRR,45662.0,POS_08_12,1.23,1.55
mFRR,45662.0,POS_12_16,1.44,1.74
mFRR,45662.0,POS_16_20,4.13,5.0
mFRR,45662.0,POS_20_24,0.72,1.0
mFRR,45662.0,NEG_00_04,2.63,3.23
mFRR,45662.0,NEG_04_08,2.83,3.47
mFRR,45662.0,NEG_08_12,1.3,1.94
mFRR,45662.0,NEG_12_16,1.69,2.33
mFRR,45662.0,NEG_16_20,1.77,4.08
mFRR,45662.0,NEG_20_24,4.21,7.98
mFRR,45663.0,POS_00_04,0.19,0.33
mFRR,45663.0,POS_04_08,0.74,0.9
mFRR,45663.0,POS_08_12,1.0,1.26
mFRR,45663.0,POS_12_16,1.1,1.33
mFRR,45663.0,POS_16_20,3.04,3.95
mFRR,45663.0,POS_20_24,0.59,0.76
mFRR,45663.0,NEG_00_04,26.55,50.0
mFRR,45663.0,NEG_04_08,26.38,48.83
mFRR,45663.0,NEG_08_12,7.17,19.98
mFRR,45663.0,NEG_12_16,6.19,9.83
mFRR,45663.0,NEG_16_20,2.88,4.67
mFRR,45663.0,NEG_20_24,12.83,53.58
mFRR,45664.0,POS_00_04,0.2,0.24
mFRR,45664.0,POS_04_08,0.68,1.0
mFRR,45664.0,POS_08_12,1.3,1.84
mFRR,45664.0,POS_12_16,1.1,1.38
mFRR,45664.0,POS_16_20,4.01,6.48
mFRR,45664.0,POS_20_24,0.68,1.1
mFRR,45664.0,NEG_00_04,19.81,26.0
mFRR,45664.0,NEG_04_08,18.38,24.0
