BETROFFENE_ANLAGE;massnahmen;arbeit_mwh;pmax_mw;primaerenergie;kumuliert
UW Büttel;298;856173,53;1853,0;Erneuerbar;0,051835389854205084
Emsland Block D;317;786669,0;840,0;Konventionell;0,09946276079291848
Rheinhafen-Dampfkraftwerk Karlsruhe Block 8;293;752129,24;815,0;Konventionell;0,14499898798292163
OWP UW Büttel;304;745859,94;1947,0;Erneuerbar;0,19015565238778126
OWP UW Dörpen-West;280;575735,0;1705,0;Erneuerbar;0,2250124274830248
Wilhelmshaven (ENGIE);195;468689,3;710,0;Konventionell;0,2533883252826151
Schwarze Pumpe (Standort);419;404564,0;920,0;Konventionell;0,27788187936501785
UW Dörpen-West;204;379722,07;1719,0;Erneuerbar;0,3008714262792932
Knapsack 1;140;347753,0;862,0;Konventionell;0,3219254669572027
Boxberg (Standort);460;335893,0;820,0;Konventionell;0,34226146660472573
HAMMUENTROP_10;213;329956,0;445,0;Konventionell;0,3622380219354355
Emsland Block B;197;287541,0;480,0;Konventionell;0,3796466421646406
illwerke vkw AG;519;279523,18;1086,0;Sonstiges;0,3965698388074837
HAMMUENTROP_20;157;276219,0;450,0;Konventionell;0,41329299018795057
Irsching 4;214;259789,07;576,0;Konventionell;0,4290214228613029
Grosskraftwerk Mannheim Block 9;212;256532,75;800,0;Konventionell;0,44455270786449763
Emsland Block C;188;247422,0;463,0;Konventionell;0,45953239992354455
Heizkraftwerk Heilbronn Block 7;130;244873,75;740,0;Konventionell;0,4743578130571544
Irsching 5;159;231026,96;816,0;Konventionell;0,4883448987574468
Jänschwalde (Standort);358;226254,0;740,0;Konventionell;0,5020430147177397
STUMMHAFEN_10;122;217472,0;724,0;Konventionell;0,5152094412742506
HERDECKE_H6;131;215038,0;418,0;Konventionell;0,5282285059531932
AVA Cluster Voslapp;59;214171,82;950,0;Erneuerbar;0,5411951294196821
Lippendorf VE;299;188938,0;498,0;Konventionell;0,5526340194870657
KNAPSACK_20;130;174688,0;430,0;Konventionell;0,5632101705423913
OWP UW Diele;177;173076,32;1077,73;Erneuerbar;0,5736887455127377
KMW_KW3;97;160978,0;425,0;Konventionell;0,5834348508238307
NIEDERAUSSEM_G;136;154490,0;605,0;Konventionell;0,5927881525763109
NEURATH_G;94;153144,0;1006,0;Konventionell;0,602059963331582
LAUSWARD_GUDF;167;152944,0;587,0;Konventionell;0,61131966546914
NIEHL-II;132;147208,0;385,0;Konventionell;0,6202320924506863
NIEDERAUSSEM_K;173;141613,0;769,0;Konventionell;0,6288057808517089
Grosskraftwerk Mannheim Block 8;89;132807,25;400,0;Konventionell;0,6368463419505961
Vorarlberger Ilwerke;183;132731,91;1014,0;Sonstiges;0,6448823417331907
Netzreservekraftwerk Weiher C;60;132394,0;500,0;Konventionell;0,6528978834007281
SHN Cluster Heide West T411 T412;111;128004,45;700,0;Erneuerbar;0,6606476681538529
WEISWEILER_H;113;126896,0;633,0;Konventionell;0,6683303439204574
NEURATH_F;87;126254,0;879,0;Konventionell;0,6759741510242029
WEISWEILER_G;178;125911,0;622,0;Konventionell;0,6835971918485704
OWP UW Emden-Ost;88;124679,52;1086,76;Erneuerbar;0,6911456750702312
50H Berlin Marzahn;225;119508,0;196,0;Konventionell;0,698381058498514
ReserveKW Staudinger 5;63;114392,0;510,0;Konventionell;0,7053067034856957
50H Berlin Mitte;167;112833,0;309,0;Konventionell;0,7121379617978039
WALSUM_10;89;111795,0;690,0;Konventionell;0,7189063763839811
BAG NWAK-Cluster 17 Altheim;98;111676,25;450,0;Erneuerbar;0,7256676014783913
Heizkraftwerk Altbach/Deizisau Block 2;224;108894,5;286,0;Konventionell;0,7322604108361843
50H PV Witznitz;230;107375,0;376,0;Erneuerbar;0,7387612249709021
Netzreservekraftwerk BERGKAMEN_A;47;106781,0;711,0;Konventionell;0,7452260765110121
Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 7;57;106204,75;495,0;Konventionell;0,7516560400963362
Netzreservekraftwerk Bexbach A;42;104698,0;680,0;Konventionell;0,7579947803829643
